id_pedido;id_cliente;nome_cliente;email;telefone;data_pedido;estado;cidade;canal_venda;dispositivo;categoria_produto;produto;quantidade;preco_unitario;desconto_pct;frete;valor_total;forma_pagamento;parcelas;idade_cliente;renda_mensal;tempo_cliente_meses;nivel_fidelidade;id_parceiro;avaliacao;devolvido;cupom_usado;recomprou_90d
PED2026007848;CLI00039;Wesley Ramos;wesleyramos.39@exemplo.com;+55 31 92387-3360;24-05-2026;RN;Natal;APP;DESKTOP;Informática;SSD;1;562.62;0;0;562.62;PIX;1;60;2881.51;10;Ouro;PROPRIO;4;0;0;0
PED2026009738;CLI03089;Eduarda Santos;eduardasantos.3089@exemplo.com;85930568083;2026-06-11;SE;Aracaju;MARKETPLACE;DESKTOP;Esportes;Bola;1;112.15;0.1;22.34;123.28;PIX;1;32;7458.44;52;Diamante;PARC256;4;0;0;1
PED2026010948;CLI03476;Bruno Oliveira;brunooliveira.3476@exemplo.com;(71) 90612-7696;2026/07/04;MG;Belo Horizonte;SITE;MOBILE;Telefonia;Carregador USB-C;1;78.29;0.05;11.19;85.56;PIX;1;68;7270.96;35;Ouro;PROPRIO;4;0;1;1
PED2026004325;CLI00988;Felipe Martins;felipemartins.988@exemplo.com;(41) 93417-1748;2026-06-21;MG;Belo Horizonte;MARKETPLACE;MOBILE;Eletrodomésticos;Geladeira;1;4971.25;0;0;4971.25;pix;1;49;6304.61;32;Diamante;PARC176;5;0;0;0
PED2026004805;CLI03094;Thiago Souza;thiagosouza.3094@exemplo.com;(51) 99684-4760;2026-01-11;SP;São Paulo;LOJA_FISICA;MOBILE;Eletrônicos;Console;1;2918.43;0.05;0;2772.51;CARTAO_CREDITO;2;21;2264.95;40;Ouro;PROPRIO;3;0;1;0
PED2026000881;CLI02625;João Teixeira;joãoteixeira.2625@exemplo.com;(81) 92576-5332;2026-04-30;SP;São Paulo;SITE;MOBILE;Telefonia;Smartwatch;1;587.89;0.25;13.91;454.83;CARTAO_CREDITO;2;31;5677.28;78;Diamante;PROPRIO;3;0;0;1
PED2026007026;CLI01310;Mariana Lima;marianalima.1310@exemplo.com;(61) 92985-3311;2026-05-11;RJ;Rio de Janeiro;MARKETPLACE;MOBILE;Casa e Decoração;Luminária;1;350;0.05;20.39;352.89;PIX;1;48;1593.51;2;Ouro;PARC011;4;0;1;1
PED2026007361;CLI00897;Olivia Nunes;olivianunes.897@exemplo.com;(21) 92258-6796;2026-01-10;são paulo;São Paulo;SITE;MOBILE;Casa e Decoração;Jogo de Cama;1;421.72;0.05;1.13;401.76;CARTAO_CREDITO;2;37;7014.16;76;Diamante;PROPRIO;4;0;0;0
PED2026002796;CLI01391;Thiago Dias;thiagodias.1391@exemplo.com;(31) 90420-7779;2026-04-28;SC;Florianópolis;APP;TABLET;Moda e Acessórios;Jaqueta;1;649.48;0;0;649.48;PIX;1;24;1583.38;25;Ouro;PROPRIO;5;0;0;1
PED2026003638;CLI01248;Queila Ferreira;queilaferreira.1248@exemplo.com;(85) 99861-1210;15/05/2026;BA;Salvador;SITE;DESKTOP;Jogos;Jogo Digital;2;173.34;0;28.52;375.2;PIX;1;34;5429.46;2;Bronze;PROPRIO;5;0;0;1
